time,id,len,x_point,y_point,x_speed,y_speed
00:00:06,2,8.60,100.864,14.592,-71.64,0
00:00:06,3,8.60,100.992,15.936,-72,0.36
00:00:23,5,4.60,100.544,3.584,67.68,0
00:00:23,6,4.40,100.48,11.264,124.56,0
00:00:46,8,5.00,100.288,7.104,91.08,0
00:00:52,9,1.40,100.672,3.52,70.56,0
00:01:19,12,5.00,100.864,6.208,111.6,0
00:01:21,11,5.40,100.352,16.768,-73.8,0.72
00:01:37,16,4.40,100.928,9.536,76.68,0
00:01:48,19,5.40,100.032,7.232,92.52,0
00:02:11,26,4.40,100.672,7.104,115.2,0
00:03:12,29,8.60,100.992,15.04,-80.28,0
00:03:44,30,6.00,100.544,7.296,66.6,0
00:03:54,31,5.00,100.224,9.792,104.04,0
00:03:58,32,10.00,100.16,6.4,79.92,0
00:04:29,37,6.00,100.608,9.728,122.4,0
00:04:53,40,8.60,100.608,2.368,69.12,0
00:05:34,48,8.60,100.8,15.296,-59.04,0
00:05:56,51,5.00,100.992,16,-60.12,0.36
00:06:11,54,8.60,100.992,15.552,-96.84,0.36
00:07:02,55,5.00,100.48,6.08,98.28,0
00:07:12,56,8.40,100.736,6.4,84.96,0
00:07:52,58,4.40,100.224,6.08,113.04,0
00:08:14,60,10.00,100.416,2.432,52.2,0
00:08:56,63,1.20,100.288,2.88,81,0
00:09:24,68,4.40,100.736,15.552,-62.64,0.72
00:09:38,70,5.40,100.288,16.128,-72.72,0.72
00:09:41,71,4.40,100.032,14.016,-74.52,0
00:09:44,73,4.40,100.352,15.424,-72,-0.36
00:09:44,74,4.40,100.928,14.464,-72,0
00:10:35,80,4.40,100.544,7.872,126.36,0
00:11:23,84,4.40,100.672,14.784,-51.48,0
00:12:34,87,4.40,100.864,16.064,-89.64,0
00:12:42,89,5.00,100.864,14.976,-63.72,0
00:13:04,93,4.40,100.672,6.72,81.36,0
00:14:05,99,4.40,100.16,11.2,69.84,0
00:14:05,97,6.00,100.864,3.072,70.56,0
00:14:11,100,5.40,100.992,15.488,-51.12,0.36
00:14:19,102,4.40,100.096,2.688,61.56,0
00:14:37,105,1.40,100.544,7.04,60.12,0
00:15:40,111,8.60,100.544,15.424,-59.4,0
00:16:27,114,6.00,100.16,16.256,-67.68,0.72
00:16:42,116,8.60,100.864,15.232,-61.2,0
00:16:55,118,4.40,100.096,10.048,136.8,0
00:17:12,119,5.00,100.992,15.168,-65.88,0.36
00:17:13,121,4.60,100.928,2.688,86.4,0
00:18:09,125,8.60,100.672,15.04,-68.76,0
00:18:30,127,7.00,100.16,6.912,112.68,0
00:18:52,128,6.00,100.352,2.368,73.08,0
00:20:38,135,1.40,100.288,5.888,83.88,0
00:21:20,141,8.40,100.096,6.528,88.56,0
00:22:18,143,4.40,100.48,2.624,79.56,0
00:22:46,146,9.40,100.864,13.76,-66.6,0
00:23:23,152,6.00,100.864,2.88,70.92,0
00:24:23,159,5.00,100.032,6.976,91.8,0
00:24:35,160,8.60,100.416,15.232,-72,0
00:25:09,163,8.60,100.16,14.848,-72.72,0
00:25:51,167,8.60,100.48,16.064,-49.68,0.36
00:26:18,169,4.40,100.224,10.688,127.8,0
00:26:26,171,4.40,100.48,6.912,95.4,0
00:26:50,175,5.40,100.8,6.528,111.6,0
00:30:26,185,4.40,100.8,3.072,74.16,0
00:32:21,188,1.40,100.672,6.4,70.92,0
00:32:34,189,4.20,100.48,6.272,60.12,0
00:33:45,197,10.00,100.032,5.824,68.04,0
00:34:43,199,5.40,100.672,7.424,105.84,0
00:35:36,200,1.40,100.288,2.688,84.96,0
00:35:36,201,5.40,100.992,9.984,108,0
00:35:42,202,3.00,100.864,2.816,73.8,0
00:36:17,209,4.40,100.032,6.144,105.84,0
00:36:23,210,6.00,100.864,3.008,81,0
00:37:16,212,4.40,100.736,7.04,123.84,0
00:38:03,214,4.40,100.992,15.04,-69.84,-0.36
00:38:26,215,5.40,100.352,2.496,74.52,0
00:38:55,218,4.40,100.672,15.488,-70.2,0.36
00:39:25,220,8.40,100.288,3.52,112.68,0
00:40:40,227,5.00,100.736,9.728,123.12,0
00:40:56,228,8.60,100.992,15.872,-73.44,0.72
00:41:37,230,8.60,100.8,15.616,-81.36,0.36
00:42:00,232,4.60,100.032,3.392,76.68,0
00:43:47,238,8.60,100.928,15.104,-73.44,0
00:44:05,239,4.40,100.992,6.4,93.6,0
00:44:32,241,1.20,100.352,3.456,77.76,0
00:47:02,247,4.40,100.736,10.432,117.72,0
00:49:00,251,10.00,100.736,3.2,70.92,0
00:49:21,253,4.40,100.864,14.4,-67.32,0
00:50:48,256,12.40,100.288,6.336,70.2,0
00:52:00,260,8.60,100.48,7.04,69.84,0
00:52:09,261,4.40,100.672,4.928,122.04,0
00:52:22,262,4.40,100.608,6.4,117.36,0
00:53:15,264,4.40,100.672,6.272,77.04,0
00:53:19,265,4.40,100.672,9.92,96.48,0
00:53:40,268,5.40,100.224,7.168,135.72,0
00:54:02,271,5.40,100.608,5.952,145.08,0
00:55:32,272,4.40,100.928,15.936,-80.64,0.72
00:56:28,273,2.60,100.416,6.528,82.08,0
00:57:24,277,11.00,100.544,7.04,72.72,0
00:57:45,282,4.40,100.992,9.536,74.52,0
00:57:45,281,6.00,100.928,3.072,75.96,0
00:58:06,283,4.40,100.416,9.984,85.68,0
00:58:24,286,4.40,100.8,15.616,-63,0.36
00:58:30,287,4.40,100.16,15.616,-68.04,0.36
00:58:38,290,8.40,100.608,6.144,74.88,0
00:59:09,293,6.00,100.352,2.816,69.12,0
01:00:06,298,5.00,100.416,15.872,-63,0.36
01:00:25,299,4.40,100.992,9.92,117.36,0
01:00:32,300,8.60,100.224,2.816,62.64,0
01:00:46,301,8.40,100.672,3.072,65.16,0
01:00:57,302,4.40,100.544,15.424,-64.08,0
01:01:56,308,4.40,100.16,6.656,115.92,0
01:01:59,309,4.40,100.928,9.984,100.8,0
01:02:32,310,8.40,100.224,2.624,65.52,0
01:02:46,311,2.40,100.864,6.592,89.28,0
01:03:00,313,8.00,100.224,2.624,69.84,0
01:04:22,320,5.00,100.352,6.72,107.64,0
01:06:43,324,5.00,100.032,6.592,124.56,0
01:06:47,323,8.60,100.096,14.784,-68.4,0
01:07:02,325,8.60,100.224,14.016,-80.28,0
01:07:40,327,5.00,100.224,9.344,107.28,0
01:08:30,328,8.60,100.096,15.04,-76.68,0
01:08:57,330,4.40,100.224,11.136,124.92,0
01:09:21,332,8.60,100.352,17.6,-73.44,0.72
01:10:33,338,4.40,100.736,10.752,111.6,0
01:11:03,340,4.40,100.288,6.912,84.6,0
01:11:04,339,5.40,100.416,15.68,-59.76,0.36
01:11:15,341,8.60,100.992,15.36,-52.56,0
01:11:40,345,8.40,100.096,5.44,61.92,0
01:13:10,346,4.20,100.224,3.904,90.72,0
01:13:46,348,6.00,100.032,2.88,74.88,0
01:13:54,349,7.40,100.48,5.888,95.4,0
01:14:05,351,8.60,100.8,2.816,81.72,0
01:15:47,354,11.40,100.928,6.912,75.96,0
01:15:51,355,5.40,100.032,14.656,-78.12,0
01:16:50,358,5.00,100.352,7.616,116.64,0
01:18:20,363,8.60,100.032,2.112,70.56,0
01:18:20,362,4.40,100.736,11.392,69.84,0
01:18:30,364,8.60,100.608,15.296,-55.8,0
01:19:11,370,8.60,100.928,15.744,-59.4,0.72
01:20:28,373,8.60,100.864,15.232,-75.24,0
01:21:17,374,8.60,100.672,2.88,82.44,0
01:21:31,376,8.60,100.672,15.36,-66.24,0
