time,id,len,x_point,y_point,x_speed,y_speed
00:00:38,4,3.00,100.928,2.112,70.92,0
00:00:52,10,4.40,100.736,9.728,136.44,0
00:01:36,24,5.00,100.864,6.592,96.84,0
00:02:16,25,8.60,100.8,28.608,-72.36,0.36
00:02:24,29,5.00,100.672,6.592,116.28,0
00:02:45,35,5.40,100.096,7.104,131.76,0
00:03:05,36,5.00,100.8,9.216,95.76,0
00:03:12,38,4.40,100.864,4.928,93.6,0
00:03:42,40,8.60,100.864,2.944,79.2,0
00:05:45,42,5.00,100.928,6.656,91.44,0
00:06:04,44,4.40,100.16,11.456,63.72,0
00:06:04,43,1.40,100.736,2.304,64.08,0
00:06:23,45,5.40,100.352,6.4,117,0
00:07:15,48,1.20,100.8,6.336,74.16,0
00:07:17,49,4.40,100.608,10.24,79.56,0
00:08:04,58,7.40,100.8,6.144,80.64,0
00:08:18,59,11.40,100.288,2.816,78.84,0
00:09:44,66,5.00,100.8,9.792,103.32,0
00:10:19,67,8.60,100.8,22.4,-81,0.36
00:10:45,69,4.40,100.736,10.752,119.52,0
00:11:00,70,5.40,100.48,6.976,115.92,0
00:12:55,72,5.00,100.672,6.784,126.72,0
00:13:05,73,6.00,100.928,9.856,94.68,0
00:13:25,76,6.00,100.16,4.672,75.24,0
00:13:31,78,5.40,100.48,2.88,83.88,0
00:14:52,84,4.40,100.224,5.312,73.08,0
00:15:26,88,7.40,100.416,5.952,92.16,0
00:16:06,90,8.60,100.416,26.432,-78.84,-1.44
00:17:02,95,5.40,100.096,7.424,118.44,0
00:17:04,96,4.40,100.096,10.496,110.88,0
00:17:17,97,3.20,100.864,22.592,-74.88,0.36
00:17:40,102,8.60,100.992,20.864,-79.56,2.16
00:18:53,104,8.00,100.736,2.432,67.32,0
00:19:10,107,4.40,100.928,9.984,108.36,0
00:19:56,117,4.00,100.736,2.368,68.76,0
00:20:42,119,5.00,100.288,7.04,86.4,0
00:21:03,120,4.40,100.032,9.984,114.48,0
00:21:28,121,8.40,100.736,5.312,100.08,0
00:21:41,124,4.40,100.48,23.424,-75.96,-1.44
00:21:46,125,4.40,100.736,9.984,84.96,0
00:22:08,126,5.00,100.288,6.08,116.64,0
00:22:23,127,5.00,100.352,9.792,116.64,0
00:22:38,128,5.00,100.992,9.792,100.44,0
00:22:41,130,1.20,100.48,6.528,73.8,0
00:22:52,132,4.40,100.608,6.144,106.2,0
00:23:57,139,8.60,100.224,23.744,-80.28,-0.36
00:24:13,142,6.00,100.096,2.432,65.52,0
00:24:32,146,8.60,100.352,22.016,-86.76,0.36
00:25:19,149,8.00,100.288,5.056,90.36,0
00:25:31,150,4.40,100.544,9.728,88.92,0
00:25:41,151,5.00,100.288,23.36,-66.96,2.52
00:26:02,152,7.40,100.992,2.368,89.64,0
00:26:33,156,8.60,100.16,2.752,80.28,0
00:26:37,157,1.20,100.48,6.144,82.8,0
00:26:41,162,5.40,100.096,6.656,110.88,0
00:26:53,172,4.40,100.928,24,-75.24,2.16
00:27:23,182,5.40,100.352,11.52,77.04,0
00:27:37,189,5.40,100.544,23.424,-74.88,1.08
00:28:36,190,5.00,100.864,6.784,87.84,0
00:28:47,191,6.40,100.48,9.536,102.6,0
00:29:06,193,8.60,100.736,6.976,68.76,0
00:30:02,198,12.00,100.992,2.624,68.76,0
00:30:50,204,4.40,100.992,7.424,101.16,0
00:31:45,207,4.40,100.992,11.712,109.44,0
00:31:47,208,5.40,100.16,7.168,75.96,0
00:32:01,210,4.40,100.096,10.944,108,0
00:32:48,213,4.40,100.864,11.968,107.64,0
00:32:49,212,8.60,100.8,3.648,82.08,0
00:33:14,215,5.00,100.352,11.072,104.04,0
00:33:55,217,4.40,100.032,3.392,84.24,0
00:34:59,218,8.60,100.352,22.144,-64.44,-0.72
00:35:26,221,6.20,100.608,3.136,67.68,0
00:35:47,228,4.40,100.096,10.432,127.8,0
00:36:01,231,11.00,100.416,5.568,76.68,0
00:36:11,232,4.40,100.864,10.048,120.96,0
00:36:29,233,5.40,100.864,6.976,105.48,0
00:36:32,234,4.40,100.224,21.632,-73.44,-0.36
00:37:02,236,8.60,100.864,25.472,-69.12,-0.36
00:37:17,238,8.40,100.928,6.208,72,0
00:37:20,239,4.40,100.8,21.888,-73.44,1.44
00:38:03,243,8.60,100.864,18.816,-95.76,1.08
00:38:06,244,4.40,100.416,7.232,130.68,0
00:38:19,245,4.40,100.672,9.344,108.72,0
00:38:44,247,3.20,100.544,23.232,-87.84,-0.36
00:39:25,249,6.00,100.16,3.584,77.04,0
00:39:59,255,5.00,100.8,10.176,96.48,0
