time,id,len,x_point,y_point,x_speed,y_speed
00:00:39,2,8.40,100.16,3.008,61.56,0
00:01:46,4,4.40,100.224,10.176,132.84,0
00:02:31,7,8.60,100.48,22.464,-64.8,1.08
00:02:37,9,4.40,100.48,8.96,79.92,0
00:02:37,8,2.60,100.16,2.368,81,0
00:02:54,11,8.60,100.864,19.584,-82.08,1.08
00:04:49,16,5.00,100.544,23.296,-78.12,0.36
00:04:58,18,8.60,100.992,18.88,-78.84,-0.36
00:05:30,19,4.40,100.48,6.528,74.52,0
00:05:47,21,4.40,100.608,7.36,165.24,0
00:06:24,25,4.40,100.928,23.936,-75.96,-0.36
00:06:39,26,6.00,100.352,3.2,64.8,0
00:06:49,29,6.00,100.736,2.496,66.96,0
00:07:42,36,1.40,100.736,2.88,97.56,0
00:07:55,39,1.40,100.16,3.136,82.08,0
00:07:56,41,8.60,100.864,23.872,-74.16,0
00:08:47,49,5.00,100.736,6.784,152.28,0
00:11:17,51,5.00,100.352,6.336,87.12,0
00:11:18,52,4.40,100.48,9.728,101.52,0
00:12:31,53,5.00,100.8,22.4,-74.16,-1.08
00:13:10,60,5.00,100.48,6.656,104.4,0
00:14:00,63,5.00,100.864,23.296,-46.08,2.88
00:14:00,62,5.40,100.992,22.912,-45.36,-0.36
00:16:48,65,5.00,100.16,8,118.44,0
00:17:16,67,3.20,100.672,6.592,73.08,0
00:17:16,66,12.00,100.672,2.624,74.52,0
00:17:54,71,8.60,100.544,23.488,-85.68,-0.36
00:17:58,73,4.60,100.16,6.336,76.68,0
00:18:42,77,4.40,100.416,6.912,109.44,0
00:19:14,81,5.40,100.864,21.568,-86.4,0
00:23:17,83,4.40,100.16,6.976,128.88,0
00:23:37,85,4.40,100.48,9.792,134.28,0
00:24:48,89,4.40,100.224,17.472,-74.52,0.36
00:25:11,93,8.60,100.16,22.272,-74.16,-0.36
00:25:57,95,8.60,100.096,1.408,82.44,-0.72
00:25:57,94,1.40,100.8,2.752,82.44,0
00:26:29,101,8.40,100.48,5.568,81.72,0
00:27:17,102,8.60,100.608,19.776,-69.12,1.44
00:28:51,104,4.40,100.928,19.008,-74.52,0
00:30:26,105,5.40,100.672,6.656,109.08,0
00:31:34,109,6.00,100.48,3.008,82.08,0
00:31:59,118,5.40,100.992,23.488,-85.68,-0.36
00:32:23,119,1.40,100.032,2.624,80.28,0
00:32:27,120,4.40,100.16,10.048,107.64,0
00:32:31,121,8.60,100.032,22.848,-72.36,-0.36
00:32:40,124,8.40,100.416,6.72,87.12,0
00:33:38,141,11.40,100.672,2.88,79.56,0
00:33:45,144,5.00,100.352,24.512,-74.16,-2.16
00:34:22,151,8.60,100.288,21.952,-69.84,1.8
00:34:49,157,4.40,100.48,10.944,90.72,0
00:34:49,158,4.40,100.672,13.76,91.08,0
00:35:13,162,9.40,100.672,7.104,74.52,0
00:37:36,168,4.40,100.8,12.8,74.88,0
00:37:36,167,2.60,100.864,2.88,75.6,0
00:37:57,174,8.60,100.672,24.32,-66.96,0.72
00:39:04,176,7.00,100.48,6.784,104.04,0
00:39:24,178,4.40,100.672,7.296,132.84,0
00:40:04,180,8.60,100.544,3.136,70.56,0
00:40:25,181,6.00,100.928,6.656,65.88,0
00:41:21,190,6.00,100.352,2.432,57.6,0
00:42:58,198,4.40,100.864,18.56,-83.16,0.36
00:43:05,199,1.40,100.928,2.688,73.44,0
00:43:42,203,4.40,100.992,9.6,105.12,0
00:44:16,205,5.00,100.096,2.624,68.4,0
00:46:40,210,4.40,100.864,20.288,-62.64,2.16
00:47:15,211,5.00,100.352,5.76,89.28,0
00:49:30,213,6.00,100.608,6.528,88.2,0
00:50:13,215,8.60,100.992,27.456,-76.32,-2.52
00:52:42,217,5.40,100.672,7.104,87.48,0
00:55:04,221,8.60,100.864,22.976,-78.84,0.72
00:55:04,222,8.60,100.544,23.68,-79.2,2.88
00:55:28,227,10.40,100.352,2.176,59.4,0
00:56:43,229,5.40,100.224,5.824,99,0
00:57:38,232,4.40,100.288,10.112,118.44,0
00:58:00,233,4.40,100.544,8.576,107.64,0
01:00:19,243,4.40,100.096,19.712,-102.24,0
01:01:39,244,1.00,100.352,2.816,76.32,0
01:01:40,246,4.40,100.992,13.312,73.8,0
01:02:07,254,8.60,100.864,20.352,-71.28,-0.36
01:03:20,257,5.00,100.8,3.52,72.72,0
01:04:03,265,8.60,100.992,5.696,87.48,0
01:04:36,270,8.60,100.544,20.352,-77.4,0.72
01:05:51,275,4.40,100.352,9.856,123.48,0
01:07:57,283,4.40,100.8,11.264,68.04,0
01:07:58,282,6.00,100.928,2.944,68.76,0
01:08:05,285,4.40,100.864,11.264,65.16,0
01:08:05,284,6.00,100.288,3.008,65.88,0
01:08:28,290,4.40,100.16,6.144,104.76,0
01:08:41,291,6.00,100.608,3.072,76.32,0
01:08:52,293,4.40,100.288,6.656,113.76,0
01:11:23,307,3.20,100.864,26.752,-37.08,0
01:12:50,311,4.40,100.288,9.28,131.04,0
01:13:16,312,7.00,100.16,5.696,68.4,0
01:14:16,314,5.00,100.032,7.104,119.16,0
01:15:06,315,5.00,100.928,6.016,104.76,0
01:15:11,316,8.60,100.672,25.536,-74.88,-0.72
01:15:32,319,8.60,100.544,20.096,-68.76,-1.08
01:15:32,318,8.60,100.224,20.48,-69.48,2.16
01:18:42,320,5.40,100.8,23.616,-42.12,-0.36
01:20:02,322,4.40,100.864,24.384,-77.4,-0.36
