time,id,len,x_point,y_point,x_speed,y_speed
00:01:00,3,8.60,100.352,6.016,72,0
00:02:20,6,4.40,100.8,9.088,81.72,0
00:02:38,8,9.20,100.032,3.392,65.52,0
00:02:43,9,4.40,100.16,4.16,93.6,0
00:03:32,14,6.00,100.16,6.208,76.32,0
00:04:11,15,5.00,100.8,6.72,115.2,0
00:04:53,17,4.40,100.352,10.688,154.44,0
00:06:06,18,1.00,100.416,6.592,68.76,0
00:06:53,25,7.00,100.608,6.4,94.32,0
00:07:24,26,4.40,100.864,10.496,86.4,0
00:08:01,27,1.00,100.032,3.392,69.12,0
00:08:11,29,8.60,100.608,3.008,72.72,0
00:08:12,30,4.40,100.992,9.728,115.2,0
00:08:28,33,6.40,100.352,22.144,-73.44,-1.44
00:08:32,36,4.40,100.736,11.52,125.64,0
00:12:44,43,6.00,100.288,2.496,68.76,0
00:13:21,47,4.40,100.16,-1.024,68.4,1.08
00:13:34,48,4.40,100.096,6.784,77.4,0
00:14:20,49,5.00,100.992,29.824,-70.92,0.72
00:15:09,53,4.40,100.736,10.88,127.44,0
00:16:50,56,5.00,100.352,6.976,108.72,0
00:17:36,58,8.40,100.608,8.512,79.56,0
00:17:42,59,8.00,100.544,3.456,60.12,0
00:17:53,60,4.40,100.992,10.24,112.68,0
00:18:06,63,8.40,100.352,6.784,87.12,0
00:18:16,65,1.40,100.16,3.136,76.68,0
00:20:26,78,11.00,100.224,6.336,68.4,0
00:22:07,83,8.00,100.16,22.528,-75.24,0
00:22:34,85,8.60,100.672,3.008,80.64,0
00:22:42,87,8.40,100.48,6.4,81,0
00:23:45,91,6.00,100.48,6.784,104.4,0
00:25:34,99,8.60,100.544,6.784,86.76,0
00:26:27,103,4.00,100.032,2.624,61.92,0
00:26:27,104,5.00,100.16,15.424,-89.28,0
00:26:37,108,4.40,100.416,2.88,63.36,0
00:27:45,117,7.00,100.224,7.04,84.24,0
00:30:12,120,3.20,100.8,21.568,-84.6,0
00:30:16,121,3.20,100.8,24.704,-72,-0.36
00:30:37,123,6.40,100.672,22.528,-68.4,0
00:30:37,124,6.00,100.288,23.04,-68.76,1.08
00:31:03,125,4.40,100.416,6.976,103.32,0
00:31:48,127,4.40,100.032,12.48,68.04,0
00:31:48,126,6.00,100.16,2.816,69.12,0
00:33:39,132,5.00,100.544,5.696,90.72,0
00:37:07,134,5.00,100.288,6.528,101.88,0
00:38:25,136,5.40,100.736,9.088,110.88,0
00:38:32,137,5.40,100.48,6.656,91.8,0
00:39:34,138,1.20,100.032,2.816,71.64,0
00:40:37,142,5.00,100.352,6.272,77.4,0
00:41:47,146,8.60,100.672,19.904,-72.72,1.08
00:42:02,147,4.40,100.224,10.112,95.4,0
00:42:48,149,6.00,100.8,2.752,67.68,0
00:42:50,152,4.40,100.608,8.384,97.92,0
00:43:39,157,8.60,100.736,22.336,-75.96,0
00:45:01,160,5.00,100.288,10.048,144.72,0
00:47:04,165,4.40,100.48,9.6,105.48,0
00:47:07,166,4.40,100.288,10.368,112.68,0
00:47:36,169,7.40,100.8,6.208,70.56,0
00:47:39,170,8.60,100.224,3.2,78.84,0
00:47:53,173,1.20,100.544,6.08,81,0
00:48:30,174,7.00,100.928,6.4,94.68,0
00:48:42,176,8.60,100.928,19.264,-75.24,2.88
00:48:42,177,8.60,100.928,17.152,-74.88,1.08
00:49:11,178,1.40,100.992,6.848,86.4,0
00:49:59,186,4.40,100.48,9.152,116.64,0
00:50:04,187,4.40,100.608,6.464,87.12,0
00:51:17,192,4.40,100.48,2.944,59.04,0
00:53:09,194,5.00,100.8,9.344,96.84,0
00:53:42,200,4.40,100.16,6.72,88.2,0
00:54:06,202,9.40,100.928,2.624,73.08,0
00:54:43,205,2.40,100.8,3.328,72,0
00:56:04,208,4.20,100.416,6.08,88.2,0
00:56:17,210,1.00,100.736,7.04,80.28,0
00:57:38,220,5.00,100.544,6.016,95.76,0
00:58:36,226,8.60,100.352,2.752,70.92,0
00:59:08,232,11.40,100.352,5.696,69.48,0
00:59:37,240,8.60,100.032,6.08,93.96,0
01:00:10,244,6.00,100.672,4.48,86.4,0
01:01:49,254,5.40,100.544,6.464,105.12,0
01:02:00,255,4.40,100.928,22.784,-81.72,0
01:02:17,257,8.60,100.032,18.816,-85.68,0.36
01:05:39,261,4.40,100.672,22.528,-77.4,2.52
01:06:51,263,4.40,100.864,18.688,-69.48,0.36
01:06:54,264,8.60,100.416,22.72,-58.68,1.44
01:08:45,275,5.40,100.416,9.536,146.16,0
01:09:12,276,4.40,100.096,19.904,-71.64,2.52
01:09:41,277,2.40,100.8,2.56,84.6,0
01:09:52,279,4.40,100.16,10.56,113.76,0
01:11:34,281,4.40,100.48,3.328,92.16,0
01:12:36,287,4.40,100.224,3.712,82.08,0
01:12:51,288,4.40,100.8,6.4,105.48,0
01:14:23,290,4.40,100.416,23.232,-64.8,-0.36
01:15:58,291,4.40,100.352,10.688,113.76,0
01:16:54,292,4.40,100.544,19.904,-63.36,1.8
01:17:11,296,4.40,100.288,19.52,60.12,0.72
01:17:12,294,1.20,100.352,2.688,60.48,0
01:18:55,304,8.60,100.16,17.6,-78.12,0.72
01:19:02,306,8.60,100.864,24.128,-60.84,0.72
01:19:42,307,3.00,100.032,2.048,54.36,0
01:20:40,310,10.00,100.608,2.752,84.96,0
01:21:04,315,6.40,100.8,3.456,72.36,0
01:21:24,320,4.40,100.864,26.56,-70.2,0
01:23:06,322,5.40,100.864,23.872,-75.96,2.52
01:23:06,324,4.40,100.864,25.6,-75.24,-1.08
01:24:13,326,4.40,100.864,9.984,93.96,0
01:25:02,332,8.60,100.416,22.528,-87.84,-0.36
01:25:45,337,9.00,100.736,5.952,93.6,0
01:25:50,338,4.40,100.16,5.888,83.52,0
01:26:13,339,12.40,100.096,3.008,69.84,0
01:26:26,341,8.60,100.736,2.688,72.72,0
01:26:35,345,6.00,100.288,11.072,86.4,0
01:27:55,353,1.20,100.416,6.4,97.2,0
01:28:26,354,6.00,100.8,6.72,84.96,0
01:30:46,365,4.40,100.16,10.24,75.24,0
01:30:46,364,6.00,100.928,2.88,76.32,0
01:30:59,366,8.60,100.352,19.84,-86.04,-0.36
01:32:06,368,2.60,100.096,6.592,92.16,0
01:32:19,369,4.40,100.8,20.48,-88.92,0
01:33:21,372,8.00,100.032,6.208,113.76,0
01:33:38,374,4.40,100.48,9.856,99.72,0
01:35:07,375,5.40,100.864,19.968,-84.6,-0.36
01:35:16,376,2.60,100.096,3.328,78.48,0
01:36:03,384,4.40,100.608,10.176,110.88,0
01:36:19,386,8.60,100.032,2.624,81.36,0
01:36:35,387,1.20,100.16,2.816,88.56,0
01:37:54,390,8.60,100.416,6.08,82.08,0
01:40:57,391,1.40,100.16,6.08,85.68,0
01:42:01,394,4.40,100.416,23.616,-70.92,2.88
