时间,15min交通量,15min上行外侧车道速度均值,15min上行外侧车道速度标准差,15min上行中间车道速度均值,15min上行中间车道速度标准差,15min上行内侧车道速度均值,15min上行内侧车道速度标准差,15min下行内侧车道速度均值,15min下行内侧车道速度标准差,15min下行中间车道速度均值,15min下行中间车道速度标准差,15min下行外侧车道速度均值,15min下行外侧车道速度标准差,15min上行速度均值,15min上行速度标准差,15min下行速度均值,15min下行速度标准差,15min 上行大型车数量,15min 上行中型车数量,15min 上行小型车数量,15min 下行大型车数量,15min 下行中型车数量,15min 下行小型车数量,分钟能见度m,降水天气现象,气温℃,湿度%RH,瞬时风速m/s,瞬时风向°,分钟内极大风速m/s,分钟内极大风向°,2 min平均风速m/s,2 min平均风向°,10 min平均风速m/s,10 min平均风向°,气压hPa,路面温度℃,路面状况 ,水膜厚度mm,冰层厚度mm,雪层厚度mm,湿滑系数
2020-01-06 16:15,10,101.09999999999998,18.28976763111002,123.84,7.199999999999996,nan,nan,-83.88,0.0,-79.92,0.0,nan,nan,106.785,18.994851276069518,-81.9,1.9799999999999969,0,1,7,0,1,1,[20000.0],[0.0],[11.5],[46.0],[3.9],[302.0],[3.9],[302.0],[2.6],[303.0],[3.0],[253.0],[789.6],[12.3],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-01-06 16:30,63,101.808,18.414272725253095,122.40000000000002,13.822937459165471,104.75999999999999,24.317460393717106,-67.26857142857143,14.38961870692244,-72.36,12.588974768196403,nan,nan,108.04285714285714,20.25196407708625,-68.9657142857143,14.022437995831496,0,7,35,0,15,6,[20000.0],[0.0],[11.1],[45.0],[3.6],[317.0],[3.6],[317.0],[2.7],[312.0],[2.9],[265.0],[789.6],[12.6],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-01-06 16:45,92,100.04538461538459,16.921658454538996,111.22105263157896,13.319986523913224,113.0,21.532189856120066,-71.46,7.90566885215919,-84.05999999999999,8.472756340176435,nan,nan,104.157,17.665124709438086,-77.76,10.33603405567145,1,25,54,0,8,4,[20000.0],[0.0],[10.9],[46.0],[3.1],[317.0],[3.1],[317.0],[2.2],[308.0],[2.7],[277.0],[789.6],[12.8],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-01-06 17:00,40,103.06285714285715,16.33567674428818,120.36,16.619891696398025,120.24000000000001,6.479999999999997,-67.392,9.419075113831504,-69.11999999999999,7.151838924360642,nan,nan,109.00125,17.965482137629927,-68.04,8.679285684893658,1,7,24,0,4,4,[20000.0],[0.0],[10.7],[48.0],[5.0],[351.0],[5.0],[351.0],[2.6],[315.0],[2.6],[290.0],[789.7],[12.9],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-01-06 17:15,45,93.65538461538462,19.020523577435068,110.484,17.351439824982823,104.03999999999999,35.00618231112898,-76.68,0.0,-80.64,9.713331045527067,nan,nan,98.901,22.06890842339059,-79.05600000000001,7.769997683397335,0,8,32,0,2,3,[20000.0],[0.0],[9.3],[54.0],[4.6],[318.0],[4.6],[318.0],[4.2],[333.0],[3.5],[320.0],[790.0],[12.5],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-01-06 17:30,58,92.97599999999998,17.852499656910794,123.52799999999998,20.272344117047737,104.04,24.25840885136534,-74.05714285714285,12.148469291332509,-78.24000000000001,4.489988864128727,nan,nan,103.21499999999999,23.64128962218432,-75.312,10.63164784969856,1,13,34,0,4,6,[20000.0],[0.0],[8.9],[56.0],[4.5],[333.0],[4.5],[333.0],[3.7],[330.0],[3.8],[326.0],[790.2],[12.7],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-01-06 17:45,73,93.25090909090909,17.003581149299887,112.16842105263159,19.98783031408912,113.04000000000002,17.665695570794828,-74.52,9.377291719894394,-72.58500000000001,7.275958699717857,nan,nan,102.06295081967214,20.456965092624564,-73.23,8.089270671698406,1,15,45,0,7,5,[20000.0],[0.0],[7.7],[60.0],[3.8],[1.0],[3.8],[1.0],[4.0],[351.0],[4.6],[1.0],[791.5],[13.7],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-01-06 18:00,55,88.95724137931037,19.88195211683749,123.57818181818183,18.002023026811493,nan,nan,-66.672,5.527612142688739,-72.21600000000001,9.797292687268252,nan,nan,98.478,24.79273111216269,-70.368,9.000351993116713,1,12,27,0,8,7,[20000.0],[0.0],[8.3],[55.0],[4.8],[356.0],[4.8],[356.0],[4.1],[6.0],[4.3],[5.0],[791.4],[14.2],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-01-06 18:15,58,92.9113043478261,16.88713616525591,110.75142857142858,16.213484184090575,118.26,14.579999999999998,-77.47200000000001,8.462374134957633,-73.00285714285715,12.34331249160071,nan,nan,100.61538461538461,19.007823739544975,-74.17894736842105,11.61815181186516,2,10,27,0,8,11,[20000.0],[0.0],[8.5],[55.0],[3.6],[326.0],[3.6],[326.0],[3.3],[338.0],[4.2],[359.0],[791.6],[14.1],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-01-06 18:30,55,98.18181818181816,23.590847924250706,111.60000000000001,13.579480318270125,117.50399999999999,7.7633229998500015,-68.69999999999999,4.420904884749278,-73.17,8.684417078883301,nan,nan,105.12,20.68363510062024,-71.25428571428571,7.507734787048159,0,12,29,0,5,9,[20000.0],[0.0],[8.6],[55.0],[5.0],[13.0],[5.0],[13.0],[3.9],[358.0],[4.0],[358.0],[791.8],[14.0],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-01-06 18:45,56,93.21119999999999,17.445087404768138,121.16250000000001,14.80053694127345,116.82,1.9799999999999969,-68.75999999999999,5.039999999999999,-74.77200000000002,8.23298827886934,nan,nan,103.80272727272727,21.641407108894114,-73.77000000000001,8.107940552322765,2,14,28,0,3,9,[20000.0],[0.0],[8.6],[55.0],[4.3],[18.0],[4.3],[18.0],[4.1],[12.0],[3.9],[1.0],[791.7],[13.8],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-01-06 19:00,44,81.96923076923076,11.203583534908313,118.5942857142857,13.12728767235079,nan,nan,-67.44,11.498730364696794,-91.44,0.0,nan,nan,94.788,21.14401702609984,-73.44,14.39324841722674,0,16,24,0,3,1,[20000.0],[0.0],[8.6],[55.0],[4.1],[8.0],[4.1],[8.0],[3.5],[15.0],[3.9],[3.0],[791.7],[13.8],[1.0],[0.0],[0.0],[0.0],[0.82]
