Ê±¼ä,15min½»Í¨Á¿,15minÉÏĞĞÍâ²à³µµÀËÙ¶È¾ùÖµ,15minÉÏĞĞÍâ²à³µµÀËÙ¶È±ê×¼²î,15minÉÏĞĞÖĞ¼ä³µµÀËÙ¶È¾ùÖµ,15minÉÏĞĞÖĞ¼ä³µµÀËÙ¶È±ê×¼²î,15minÉÏĞĞÄÚ²à³µµÀËÙ¶È¾ùÖµ,15minÉÏĞĞÄÚ²à³µµÀËÙ¶È±ê×¼²î,15minÏÂĞĞÄÚ²à³µµÀËÙ¶È¾ùÖµ,15minÏÂĞĞÄÚ²à³µµÀËÙ¶È±ê×¼²î,15minÏÂĞĞÖĞ¼ä³µµÀËÙ¶È¾ùÖµ,15minÏÂĞĞÖĞ¼ä³µµÀËÙ¶È±ê×¼²î,15minÏÂĞĞÍâ²à³µµÀËÙ¶È¾ùÖµ,15minÏÂĞĞÍâ²à³µµÀËÙ¶È±ê×¼²î,15minÉÏĞĞËÙ¶È¾ùÖµ,15minÉÏĞĞËÙ¶È±ê×¼²î,15minÏÂĞĞËÙ¶È¾ùÖµ,15minÏÂĞĞËÙ¶È±ê×¼²î,15min ÉÏĞĞ´óĞÍ³µÊıÁ¿,15min ÉÏĞĞÖĞĞÍ³µÊıÁ¿,15min ÉÏĞĞĞ¡ĞÍ³µÊıÁ¿,15min ÏÂĞĞ´óĞÍ³µÊıÁ¿,15min ÏÂĞĞÖĞĞÍ³µÊıÁ¿,15min ÏÂĞĞĞ¡ĞÍ³µÊıÁ¿,·ÖÖÓÄÜ¼û¶Èm,½µË®ÌìÆøÏÖÏó,ÆøÎÂ¡æ,Êª¶È%RH,Ë²Ê±·çËÙm/s,Ë²Ê±·çÏò¡ã,·ÖÖÓÄÚ¼«´ó·çËÙm/s,·ÖÖÓÄÚ¼«´ó·çÏò¡ã,2 minÆ½¾ù·çËÙm/s,2 minÆ½¾ù·çÏò¡ã,10 minÆ½¾ù·çËÙm/s,10 minÆ½¾ù·çÏò¡ã,ÆøÑ¹hPa,Â·ÃæÎÂ¶È¡æ,Â·Ãæ×´¿ö ,Ë®Ä¤ºñ¶Èmm,±ù²ãºñ¶Èmm,Ñ©²ãºñ¶Èmm,Êª»¬ÏµÊı
2020-02-11 12:45,9,94.68,11.064754854943692,92.40000000000002,10.745194274651343,nan,nan,-80.28,1.0799999999999983,-75.6,0.0,nan,nan,93.54,10.96556428096612,-78.72000000000001,2.375878784786802,0,3,3,0,1,2,[19919.85714285714],[0.0],[9.657142857142857],[59.57142857142857],[1.8142857142857145],[207.0],[1.8142857142857145],[207.0],[1.7857142857142858],[215.28571428571428],[1.742857142857143],[230.0],[794.4],[31.785714285714285],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-02-11 13:00,20,95.55,27.193887180761784,114.11999999999998,15.784265583168574,102.6,0.0,-85.68,0.0,-86.4,0.0,nan,nan,101.1,25.09901193274349,-86.04,0.35999999999999943,0,7,11,0,2,0,[20000.0],[0.0],[9.950000000000001],[58.5],[2.6666666666666665],[196.83333333333334],[2.6666666666666665],[196.83333333333334],[2.4833333333333334],[197.66666666666666],[2.5500000000000003],[197.83333333333334],[794.2833333333333],[33.56666666666666],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-02-11 13:15,18,84.03,14.506450289440211,121.5,7.958768748996298,103.32,0.0,-78.12,0.0,nan,nan,nan,nan,93.98117647058824,20.41233821876106,-78.12,0.0,1,9,7,0,0,1,[20000.0],[0.0],[10.233333333333333],[57.0],[3.433333333333333],[216.0],[3.433333333333333],[216.0],[3.1999999999999997],[211.0],[3.1],[200.66666666666666],[794.0],[35.1],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-02-11 13:30,30,86.4857142857143,18.528439034663023,107.01,22.340857190358655,nan,nan,-74.52,0.0,-88.83,6.736787068031763,nan,nan,89.7696,20.611848336333157,-85.96799999999999,8.310933521572654,1,9,15,0,2,3,[20000.0],[0.0],[10.414285714285715],[57.285714285714285],[2.742857142857143],[195.42857142857142],[2.742857142857143],[195.42857142857142],[3.1571428571428575],[196.71428571428572],[3.214285714285714],[203.14285714285714],[793.9285714285714],[35.557142857142864],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-02-11 13:45,20,80.3781818181818,6.399667346726727,116.91,25.121932648584185,78.48,0.0,-77.39999999999999,8.659976905280983,-77.4,0.0,nan,nan,89.3925,20.94148141249802,-77.4,7.499759996159877,0,8,8,0,2,2,[20000.0],[0.0],[11.379999999999999],[54.8],[1.7400000000000002],[155.2],[1.7400000000000002],[155.2],[1.8800000000000003],[166.2],[2.14],[178.2],[793.6],[36.54],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-02-11 14:00,19,104.73230769230769,27.564545274918245,103.32,0.0,75.96,0.0,-72.36,0.0,-88.08,6.535319426011245,nan,nan,102.72,26.6415134705219,-84.15,8.852542007807697,0,7,8,0,3,1,[20000.0],[0.0],[11.975],[53.25],[1.9749999999999999],[184.0],[1.9749999999999999],[184.0],[2.125],[184.75],[1.875],[174.5],[793.425],[37.225],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-02-11 14:15,25,87.12,19.53927034754076,116.19,6.461849580422002,96.12,15.119999999999997,-74.88,2.1600000000000037,-82.67999999999999,5.888565190264944,nan,nan,93.83400000000002,20.74839473308718,-79.55999999999999,6.105158474601621,0,8,12,0,2,3,[20000.0],[0.0],[12.616666666666667],[51.833333333333336],[2.416666666666667],[181.83333333333334],[2.416666666666667],[181.83333333333334],[2.3],[181.83333333333334],[2.3333333333333335],[183.66666666666666],[793.1666666666665],[38.15],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-02-11 14:30,21,83.84400000000001,12.834845694436689,110.16000000000001,18.252627208158284,100.25999999999999,27.18,-81.36,0.0,-94.5,7.739999999999995,nan,nan,94.44,20.812649999459467,-90.12,8.849135551001575,0,4,14,0,1,2,[20000.0],[0.0],[13.6],[49.5],[2.766666666666667],[192.16666666666666],[2.766666666666667],[192.16666666666666],[2.4],[186.33333333333334],[2.1333333333333333],[180.33333333333334],[792.8666666666667],[38.46666666666666],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-02-11 14:45,17,84.27272727272727,15.017147223883827,119.52000000000002,38.225603984763936,nan,nan,-21.6,0.0,-92.16,8.64,nan,nan,91.82571428571428,26.447652262612685,-68.64,34.002164636975685,0,8,6,0,1,2,[20000.0],[0.0],[13.4],[48.6],[3.12],[201.0],[3.12],[201.0],[3.5],[205.0],[3.4],[192.8],[792.7],[38.779999999999994],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-02-11 15:00,19,93.52000000000001,22.668745002756545,142.47,10.964866620255806,144.0,0.0,-66.24000000000001,10.440000000000005,-74.04,8.566352782835882,nan,nan,111.11142857142855,30.36208228722672,-70.92,10.110810056568171,1,7,6,0,2,3,[20000.0],[0.0],[14.016666666666666],[46.5],[3.6333333333333333],[185.83333333333334],[3.6333333333333333],[185.83333333333334],[3.4],[190.5],[3.2833333333333337],[200.66666666666666],[792.4666666666667],[38.96666666666667],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-02-11 15:15,24,92.10000000000001,14.824857503531021,134.64,32.93688509862461,68.4,0.0,-74.28,1.3254433220624693,-76.032,7.518399829751008,nan,nan,98.595,26.46638953465319,-75.375,6.05864465041481,1,8,7,0,5,3,[20000.0],[0.0],[14.85],[43.666666666666664],[2.5500000000000003],[165.16666666666666],[2.5500000000000003],[165.16666666666666],[2.4],[175.5],[2.1333333333333333],[190.16666666666666],[792.2666666666665],[39.1],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-02-11 15:30,25,93.816,17.565048932468137,111.3,17.41499354005048,120.96000000000001,2.1600000000000037,-79.08,6.574861215265304,-81.18,8.871279501853161,nan,nan,102.65999999999998,19.45675204138656,-80.28,8.03603313653127,0,4,14,0,3,4,[19874.833333333332],[0.0],[15.549999999999999],[42.166666666666664],[2.516666666666667],[153.33333333333334],[2.516666666666667],[153.33333333333334],[2.35],[153.16666666666666],[2.2166666666666672],[161.0],[792.0333333333333],[38.800000000000004],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-02-11 15:45,20,85.45090909090911,18.563432996838145,104.16000000000001,8.40342787200557,66.24,0.0,-88.02000000000001,0.17999999999999972,-88.19999999999999,3.1107555352357728,nan,nan,87.912,18.85162953168771,-88.128,2.41387986445059,0,6,9,0,2,3,[20000.0],[0.0],[15.775],[40.875],[1.975],[251.75],[1.975],[251.75],[1.9500000000000002],[255.625],[2.325],[218.75],[791.9375],[38.1875],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-02-11 16:00,18,82.49142857142859,7.216511679220544,nan,nan,111.06,1.6200000000000045,-79.74,4.039653450483099,-93.59999999999998,7.499759996159876,nan,nan,88.84,13.496429157373443,-84.36,8.503928503932753,0,5,4,0,5,4,[20000.0],[0.0],[16.099999999999998],[39.333333333333336],[2.8666666666666667],[150.33333333333334],[2.8666666666666667],[150.33333333333334],[2.3666666666666667],[168.33333333333334],[2.1666666666666665],[175.0],[791.7999999999998],[37.666666666666664],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-02-11 16:15,29,90.35999999999999,13.651021939767,100.71,25.503370365502672,113.03999999999999,1.8000000000000043,-82.08,7.920000000000002,-85.2,5.462307204835699,nan,nan,93.97500000000001,17.207183819556295,-83.952,6.732673763075113,0,9,15,0,4,1,[20000.0],[0.0],[16.683333333333334],[37.833333333333336],[1.2],[142.83333333333334],[1.2],[142.83333333333334],[1.3166666666666667],[203.83333333333334],[1.5999999999999999],[199.5],[791.6999999999999],[37.13333333333333],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-02-11 16:30,20,90.24,16.67913666830511,98.04,29.982234739925577,79.92,0.0,-80.39999999999999,8.242523885315709,nan,nan,nan,nan,90.40235294117647,19.448579421708192,-80.39999999999999,8.242523885315709,2,4,11,0,1,2,[20000.0],[0.0],[16.62857142857143],[36.857142857142854],[2.8285714285714287],[172.85714285714286],[2.8285714285714287],[172.85714285714286],[2.6999999999999997],[170.14285714285714],[2.0],[171.14285714285714],[791.6999999999999],[36.34285714285714],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
